displayName,TEAM_ABBREVIATION,MIN,jackDKavgFPTs
A.J. Lawson,DAL,7.2,6.05
AJ Green,MIL,9.9,7.83
AJ Griffin,ATL,19.5,15.02
Aaron Gordon,DEN,30.2,32.0
Aaron Holiday,ATL,13.4,9.1
Aaron Nesmith,IND,24.9,19.7
Aaron Wiggins,OKC,18.5,13.75
Admiral Schofield,ORL,12.2,8.22
Al Horford,BOS,30.5,25.9
Alec Burks,DET,22.0,22.17
Aleksej Pokusevski,OKC,20.6,20.52
Alex Caruso,CHI,23.5,17.82
Alex Len,SAC,6.2,6.22
Alize Johnson,SAS,7.4,5.48
Alondes Williams,BKN,5.3,0.25
Alperen Sengun,HOU,28.9,34.35
Amir Coffey,LAC,12.5,6.72
Andre Drummond,CHI,12.7,16.65
Andre Iguodala,GSW,14.1,9.62
Andrew Nembhard,IND,27.6,21.58
Andrew Wiggins,GSW,32.2,31.35
Anfernee Simons,POR,35.0,32.95
Anthony Davis,LAL,34.0,52.18
Anthony Edwards,MIN,36.0,42.75
Anthony Gill,WAS,10.6,6.82
Anthony Lamb,GSW,19.3,15.08
Austin Reaves,LAL,28.8,23.35
Austin Rivers,MIN,19.5,10.4
Ayo Dosunmu,CHI,26.2,17.95
Bam Adebayo,MIA,34.6,39.45
Ben Simmons,BKN,26.3,26.58
Bennedict Mathurin,IND,28.5,25.37
Bismack Biyombo,PHX,14.3,14.02
Blake Griffin,BOS,13.9,12.15
Blake Wesley,SAS,18.1,12.75
Boban Marjanovic,HOU,5.5,6.48
Bobby Portis,MIL,26.0,29.65
Bogdan Bogdanovic,ATL,27.9,25.02
Bojan Bogdanovic,DET,32.1,31.75
Bol Bol,ORL,21.5,20.45
Bones Hyland,LAC,19.4,21.75
Bradley Beal,WAS,33.5,38.72
Brandon Boston Jr.,LAC,11.3,10.4
Brandon Clarke,MEM,19.5,20.92
Brandon Ingram,NOP,34.2,41.52
Braxton Key,DET,3.0,1.68
Brook Lopez,MIL,30.4,32.38
Bruce Brown,DEN,28.5,24.92
Bruno Fernando,ATL,10.4,11.38
Bryce McGowens,CHA,17.1,10.25
Bryn Forbes,MIN,10.7,6.25
Buddy Boeheim,DET,9.0,3.55
Buddy Hield,IND,31.0,31.2
CJ McCollum,NOP,35.3,37.95
Cade Cunningham,DET,33.3,38.5
Caleb Houstan,ORL,15.9,7.92
Caleb Martin,MIA,29.3,20.85
Cam Reddish,POR,24.7,17.3
Cam Thomas,BKN,16.6,15.72
Cameron Johnson,BKN,28.6,27.65
Cameron Payne,PHX,20.2,21.45
Caris LeVert,CLE,30.2,25.35
Carlik Jones,CHI,8.0,5.78
Cedi Osman,CLE,20.1,15.42
Chance Comanche,POR,20.8,12.75
Charles Bassey,SAS,14.5,16.77
Chima Moneke,SAC,4.0,2.5
Chimezie Metu,SAC,10.4,10.55
Chris Boucher,TOR,20.0,19.83
Chris Duarte,IND,19.5,14.68
Chris Paul,PHX,32.0,36.32
Chris Silva,DAL,3.0,1.5
Christian Braun,DEN,15.5,10.25
Christian Koloko,TOR,13.8,10.12
Christian Wood,DAL,25.9,31.33
Chuma Okeke,ORL,19.2,13.7
Clint Capela,ATL,26.6,32.0
Coby White,CHI,23.4,19.47
Cody Martin,CHA,19.1,13.1
Cody Zeller,MIA,14.4,13.48
Cole Anthony,ORL,25.9,26.95
Cole Swider,LAL,5.9,3.65
Collin Sexton,UTA,23.9,22.4
Corey Kispert,WAS,28.3,18.15
Cory Joseph,DET,19.8,15.58
D'Angelo Russell,LAL,32.5,33.7
Daishen Nix,HOU,16.0,10.37
Dalano Banton,TOR,9.0,9.82
Dalen Terry,CHI,5.6,5.15
Damian Jones,UTA,11.6,9.05
Damian Lillard,POR,36.3,52.0
Damion Lee,PHX,20.4,15.1
Daniel Gafford,WAS,20.6,20.5
Daniel Theis,IND,15.5,15.18
Danny Green,CLE,12.6,9.78
Danuel House Jr.,PHI,14.4,9.22
Dario Saric,OKC,14.1,13.75
Darius Bazley,PHX,14.3,13.1
Darius Days,HOU,6.2,7.12
Darius Garland,CLE,35.5,39.02
David Duke Jr.,BKN,9.9,7.08
David Roddy,MEM,18.0,12.85
Davion Mitchell,SAC,18.1,12.27
Davis Bertans,DAL,10.9,8.15
Davon Reed,LAL,8.0,5.35
Day'Ron Sharpe,BKN,11.5,12.75
De'Aaron Fox,SAC,33.4,41.75
De'Andre Hunter,ATL,31.7,24.5
De'Anthony Melton,PHI,27.9,23.68
DeAndre Jordan,DEN,15.0,14.15
DeMar DeRozan,CHI,36.2,40.35
Dean Wade,CLE,20.3,12.65
Deandre Ayton,PHX,30.4,36.5
Dejounte Murray,ATL,36.4,39.67
Delon Wright,WAS,24.4,21.9
Deni Avdija,WAS,26.6,23.65
Dennis Schroder,LAL,30.1,24.17
Dennis Smith Jr.,CHA,25.7,23.12
Deonte Burton,SAC,3.2,0.0
Dereon Seabron,NOP,2.3,1.05
Derrick Jones Jr.,CHI,14.0,10.95
Derrick Rose,NYK,12.5,10.98
Derrick White,BOS,28.3,26.25
Desmond Bane,MEM,31.7,37.5
Devin Booker,PHX,34.6,43.98
Devin Vassell,SAS,31.0,32.38
Devon Dotson,WAS,8.9,6.02
Devonte' Graham,SAS,18.3,15.63
Dewayne Dedmon,PHI,11.2,11.83
Dillon Brooks,MEM,30.3,24.83
Domantas Sabonis,SAC,34.6,48.28
Dominick Barlow,SAS,14.6,11.7
Donovan Mitchell,CLE,35.8,44.58
Donovan Williams,ATL,2.1,3.25
Donte DiVincenzo,GSW,26.3,23.33
Dorian Finney-Smith,BKN,30.4,19.55
Doug McDermott,SAS,20.5,16.15
Draymond Green,GSW,31.5,30.15
Drew Eubanks,POR,20.3,18.5
Dru Smith,BKN,10.6,9.2
Duane Washington Jr.,NYK,12.7,13.1
Duncan Robinson,MIA,16.4,11.05
Dwight Powell,DAL,19.2,14.52
Dylan Windler,CLE,3.5,2.75
Dyson Daniels,NOP,17.7,12.8
Edmond Sumner,BKN,13.9,12.37
Eric Gordon,LAC,28.5,21.02
Eugene Omoruyi,DET,16.1,13.0
Evan Fournier,NYK,17.0,11.95
Evan Mobley,CLE,34.4,35.5
Facundo Campazzo,DAL,6.5,4.92
Frank Jackson,UTA,5.1,4.0
Frank Kaminsky,HOU,6.5,6.25
Frank Ntilikina,DAL,12.9,7.02
Franz Wagner,ORL,32.6,31.13
Fred VanVleet,TOR,36.7,40.53
Furkan Korkmaz,PHI,9.6,6.82
Gabe Vincent,MIA,25.9,17.92
Gabe York,IND,18.6,15.45
Garrett Temple,NOP,6.5,4.73
Garrison Mathews,ATL,12.7,8.7
Gary Harris,ORL,24.7,15.7
Gary Payton II,GSW,16.7,12.92
Gary Trent Jr.,TOR,32.1,27.5
George Hill,IND,18.1,12.25
Georges Niang,PHI,19.4,14.55
Giannis Antetokounmpo,MIL,32.1,57.5
Goga Bitadze,ORL,12.0,12.4
Goran Dragic,MIL,15.0,12.45
Gordon Hayward,CHA,31.5,27.72
Gorgui Dieng,SAS,11.6,11.88
Grant Williams,BOS,25.9,18.45
Grayson Allen,MIL,27.4,20.68
Greg Brown III,POR,5.8,4.65
Hamidou Diallo,DET,17.8,16.98
Harrison Barnes,SAC,32.5,24.92
Haywood Highsmith,MIA,18.0,11.92
Herbert Jones,NOP,29.6,22.83
Immanuel Quickley,NYK,28.9,28.1
Isaac Okoro,CLE,21.7,13.48
Isaiah Hartenstein,NYK,19.9,17.38
Isaiah Jackson,IND,16.5,17.62
Isaiah Joe,OKC,19.1,16.75
Isaiah Livers,DET,23.1,13.8
Isaiah Mobley,CLE,7.0,6.48
Isaiah Roby,NYK,11.3,9.75
Isaiah Stewart,DET,28.3,25.68
Isaiah Todd,WAS,10.2,5.4
Ish Smith,DEN,9.3,7.88
Ish Wainright,PHX,15.3,10.73
Ivica Zubac,LAC,28.5,27.33
JD Davison,BOS,5.5,4.7
JT Thor,CHA,14.0,8.5
Ja Morant,MEM,31.9,47.58
JaMychal Green,GSW,14.0,13.75
JaVale McGee,DAL,8.4,8.93
Jabari Smith Jr.,HOU,31.0,26.65
Jabari Walker,POR,11.1,8.38
Jack White,DEN,3.9,3.4
Jacob Gilyard,MEM,40.8,24.0
Jaden Hardy,DAL,14.8,14.42
Jaden Ivey,DET,31.1,30.18
Jaden McDaniels,MIN,30.6,23.62
Jaden Springer,PHI,5.6,5.63
Jae Crowder,MIL,18.9,16.35
Jae'Sean Tate,HOU,21.9,19.15
Jake LaRavia,MEM,11.8,7.05
Jakob Poeltl,TOR,26.5,31.28
Jalen Brunson,NYK,35.0,39.82
Jalen Duren,DET,24.9,24.38
Jalen Green,HOU,34.2,34.23
Jalen Johnson,ATL,14.9,14.3
Jalen McDaniels,PHI,23.9,19.88
Jalen Smith,IND,18.8,20.4
Jalen Suggs,ORL,23.5,21.3
Jalen Williams,OKC,30.3,28.18
Jamal Cain,MIA,13.3,11.52
Jamal Murray,DEN,32.8,36.9
Jamaree Bouyea,WAS,14.1,7.9
James Bouknight,CHA,15.2,11.08
James Harden,PHI,36.8,49.27
James Johnson,IND,9.0,7.42
James Wiseman,DET,19.3,19.52
Jared Butler,OKC,12.8,10.82
Jared Rhoden,DET,14.1,7.8
Jaren Jackson Jr.,MEM,28.4,36.55
Jarred Vanderbilt,LAL,24.1,23.28
Jarrell Brantley,UTA,9.7,9.82
Jarrett Allen,CLE,32.6,32.4
Jarrett Culver,ATL,13.7,11.35
Jason Preston,LAC,8.8,7.8
Javonte Green,CHI,15.0,12.65
Jaxson Hayes,NOP,13.0,10.85
Jay Huff,WAS,13.6,15.25
Jay Scrubb,ORL,15.1,12.75
Jaylen Brown,BOS,35.9,43.22
Jaylen Nowell,MIN,19.3,18.45
Jaylin Williams,OKC,18.7,16.08
Jayson Tatum,BOS,36.9,51.75
Jeenathan Williams,POR,25.3,19.25
Jeff Dowtin Jr.,TOR,10.3,6.32
Jeff Green,DEN,19.5,13.9
Jerami Grant,POR,35.6,33.18
Jeremiah Robinson-Earl,OKC,18.9,15.6
Jeremy Sochan,SAS,26.0,23.22
Jericho Sims,NYK,15.6,11.38
Jevon Carter,MIL,22.4,17.53
Jimmy Butler,MIA,33.4,41.92
Jock Landale,PHX,14.2,14.13
Joe Harris,BKN,20.6,14.5
Joe Ingles,MIL,22.7,17.25
Joe Wieskamp,TOR,5.5,2.05
Joel Embiid,PHI,34.6,57.85
John Butler Jr.,POR,11.6,6.38
John Collins,ATL,30.0,26.18
John Konchar,MEM,20.7,15.52
John Wall,LAC,22.2,24.28
Johnny Davis,WAS,15.1,11.58
Johnny Juzang,UTA,12.9,9.25
Jonas Valanciunas,NOP,24.9,32.3
Jonathan Isaac,ORL,11.3,14.2
Jonathan Kuminga,GSW,20.8,18.9
Jordan Clarkson,UTA,32.6,33.55
Jordan Goodwin,WAS,17.8,17.23
Jordan Hall,SAS,9.2,6.48
Jordan McLaughlin,MIN,15.8,12.05
Jordan Nwora,IND,19.2,16.77
Jordan Poole,GSW,30.0,32.48
Jordan Schakel,WAS,3.1,3.5
Jose Alvarado,NOP,21.5,19.02
Josh Christopher,HOU,12.3,9.93
Josh Giddey,OKC,31.1,37.28
Josh Green,DAL,25.7,16.95
Josh Hart,NYK,32.3,27.9
Josh Minott,MIN,6.4,7.02
Josh Okogie,PHX,18.8,16.53
Josh Richardson,NOP,23.5,20.48
Joshua Primo,SAS,23.3,18.48
Jrue Holiday,MIL,32.6,39.72
Juan Toscano-Anderson,UTA,13.5,8.7
Juancho Hernangomez,TOR,14.6,8.43
Julian Champagnie,SAS,18.8,17.02
Julius Randle,NYK,35.5,47.05
Justin Champagnie,BOS,6.9,5.9
Justin Holiday,DAL,15.4,9.2
Justin Jackson,BOS,4.7,3.22
Justin Minaya,POR,22.2,14.05
Justise Winslow,POR,26.8,20.45
Jusuf Nurkic,POR,26.8,31.48
KZ Okpala,SAC,7.1,3.95
Kai Jones,CHA,11.9,9.12
Karl-Anthony Towns,MIN,33.0,40.28
Kawhi Leonard,LAC,33.6,41.72
Keegan Murray,SAC,29.8,23.25
Keita Bates-Diop,SAS,21.7,18.58
Keldon Johnson,SAS,32.8,34.4
Kelly Olynyk,UTA,28.6,28.05
Kelly Oubre Jr.,CHA,32.2,32.55
Kemba Walker,DAL,16.0,14.4
Kendall Brown,IND,6.7,4.75
Kendrick Nunn,WAS,13.8,12.15
Kennedy Chandler,MEM,7.8,6.58
Kenneth Lofton Jr.,MEM,7.3,9.33
Kenrich Williams,OKC,22.8,19.48
Kentavious Caldwell-Pope,DEN,31.3,22.12
Kenyon Martin Jr.,HOU,28.0,23.48
Keon Ellis,SAC,4.4,3.68
Keon Johnson,POR,10.4,9.52
Kessler Edwards,SAC,10.7,7.07
Kevin Durant,PHX,35.6,48.52
Kevin Huerter,SAC,29.4,27.18
Kevin Knox II,POR,15.1,12.15
Kevin Love,MIA,20.0,20.3
Kevin Porter Jr.,HOU,34.3,37.38
Kevon Harris,ORL,13.4,8.62
Kevon Looney,GSW,23.9,24.52
Khem Birch,SAS,8.1,5.47
Khris Middleton,MIL,24.3,29.15
Killian Hayes,DET,28.3,26.23
Kira Lewis Jr.,NOP,9.4,8.68
Klay Thompson,GSW,33.0,34.12
Kobi Simmons,CHA,5.6,4.3
Kris Dunn,UTA,25.8,30.02
Kristaps Porzingis,WAS,32.6,42.55
Kyle Anderson,MIN,28.4,26.93
Kyle Kuzma,WAS,35.0,37.7
Kyle Lowry,MIA,31.2,26.78
Kyrie Irving,DAL,37.3,46.03
LaMelo Ball,CHA,35.2,47.3
Lamar Stevens,CLE,18.1,11.63
Landry Shamet,PHX,20.2,16.37
Larry Nance Jr.,NOP,21.2,19.05
Lauri Markkanen,UTA,34.4,42.15
LeBron James,LAL,35.5,51.98
Leandro Bolmaro,UTA,4.9,2.12
Lester Quinones,GSW,4.5,4.45
Lindell Wigginton,MIL,12.4,11.55
Lindy Waters III,OKC,12.9,10.3
Lonnie Walker IV,LAL,23.2,17.73
Louis King,PHI,28.8,31.0
Luguentz Dort,OKC,30.7,25.5
Luka Doncic,DAL,36.2,58.55
Luka Garza,MIN,8.7,10.68
Luka Samanic,UTA,23.0,20.68
Luke Kennard,MEM,22.3,16.88
Luke Kornet,BOS,11.7,10.23
Mac McClung,PHI,20.5,25.75
Malachi Flynn,TOR,13.0,9.5
Malaki Branham,SAS,23.5,17.62
Malcolm Brogdon,BOS,26.0,27.95
Malcolm Hill,CHI,1.8,1.85
Malik Beasley,LAL,25.8,22.02
Malik Monk,SAC,22.3,24.4
Mamadi Diakite,CLE,8.0,6.05
MarJon Beauchamp,MIL,13.5,9.9
Marcus Morris Sr.,LAC,28.1,21.1
Marcus Smart,BOS,32.1,28.42
Mark Williams,CHA,19.3,21.42
Markelle Fultz,ORL,29.6,30.33
Markieff Morris,DAL,10.1,8.6
Marko Simonovic,CHI,2.8,1.33
Marvin Bagley III,DET,23.6,23.45
Mason Plumlee,LAC,26.0,28.22
Matisse Thybulle,POR,16.9,11.3
Matt Ryan,MIN,9.1,5.9
Matthew Dellavedova,SAC,6.6,4.35
Max Christie,LAL,12.5,7.05
Max Strus,MIA,28.4,20.85
Maxi Kleber,DAL,25.1,14.9
McKinley Wright IV,DAL,12.4,10.28
Meyers Leonard,MIL,12.6,10.15
Mfiondu Kabengele,BOS,9.1,5.48
Micah Potter,UTA,7.5,7.52
Michael Carter-Williams,ORL,11.1,9.48
Michael Foster Jr.,PHI,1.0,0.0
Michael Porter Jr.,DEN,29.0,28.92
Mikal Bridges,BKN,35.7,34.4
Mike Conley,MIN,30.3,28.17
Mike Muscala,BOS,15.0,12.95
Miles McBride,NYK,11.9,7.65
Mitchell Robinson,NYK,26.9,25.55
Mo Bamba,LAL,15.7,16.3
Monte Morris,WAS,27.4,24.45
Montrezl Harrell,PHI,11.9,11.1
Moritz Wagner,ORL,19.5,19.82
Moses Brown,BKN,8.2,10.13
Moses Moody,GSW,13.0,9.07
Moussa Diabate,LAC,8.9,7.07
Myles Turner,IND,29.4,35.17
Naji Marshall,NOP,23.3,18.95
Nassir Little,POR,18.1,13.0
Nathan Knight,MIN,7.7,6.83
Naz Reid,MIN,18.4,21.92
Neemias Queta,SAC,5.7,6.15
Nerlens Noel,BKN,11.5,9.02
Nic Claxton,BKN,29.9,33.1
Nick Richards,CHA,18.7,19.25
Nickeil Alexander-Walker,MIN,15.0,12.88
Nicolas Batum,LAC,21.9,16.35
Nikola Jokic,DEN,33.7,58.05
Nikola Jovic,MIA,13.6,10.28
Nikola Vucevic,CHI,33.5,40.35
Noah Vonleh,BOS,7.5,4.72
Norman Powell,LAC,26.1,25.62
O.G. Anunoby,TOR,35.6,31.3
Obi Toppin,NYK,15.7,13.75
Ochai Agbaji,UTA,20.5,13.72
Olivier Sarr,OKC,12.6,10.1
Omer Yurtseven,MIA,9.2,8.7
Onyeka Okongwu,ATL,23.1,23.95
Orlando Robinson,MIA,13.7,11.38
Oshae Brissett,IND,16.7,12.9
Otto Porter Jr.,TOR,18.3,12.95
Ousmane Dieng,OKC,14.6,11.28
P.J. Tucker,PHI,25.6,11.02
P.J. Washington,CHA,32.6,29.67
PJ Dozier,SAC,5.0,4.32
Paolo Banchero,ORL,33.7,35.98
Pascal Siakam,TOR,37.4,44.9
Pat Connaughton,MIL,23.7,17.55
Patrick Baldwin Jr.,GSW,7.3,7.02
Patrick Beverley,CHI,27.1,18.32
Patrick Williams,CHI,28.3,20.7
Patty Mills,BKN,14.2,10.88
Paul George,LAC,34.6,42.72
Paul Reed,PHI,10.9,12.0
Payton Pritchard,BOS,13.4,10.6
Peyton Watson,DEN,8.1,7.25
Precious Achiuwa,TOR,20.7,19.95
Quentin Grimes,NYK,29.9,21.25
Quenton Jackson,WAS,15.0,10.73
R.J. Hampton,DET,15.9,12.03
RJ Barrett,NYK,33.9,31.0
RaiQuan Gray,BKN,35.1,38.75
Raul Neto,CLE,10.5,7.85
Reggie Bullock,DAL,30.3,16.3
Reggie Jackson,DEN,24.4,19.37
Richaun Holmes,SAC,8.3,6.48
Ricky Rubio,CLE,17.2,14.92
Robert Covington,LAC,16.2,15.38
Robert Williams III,BOS,23.5,23.98
Robin Lopez,CLE,8.1,5.8
Rodney McGruder,DET,16.4,11.42
Romeo Langford,SAS,19.6,13.73
Ron Harper Jr.,TOR,5.3,4.15
Royce O'Neale,BKN,31.7,24.02
Rudy Gay,UTA,14.6,11.48
Rudy Gobert,MIN,30.7,34.75
Rui Hachimura,LAL,23.3,19.58
Russell Westbrook,LAC,29.1,36.25
Ryan Arcidiacono,POR,8.6,4.7
Ryan Rollins,GSW,5.2,3.8
Saben Lee,PHX,14.9,13.6
Saddiq Bey,ATL,27.6,24.68
Sam Hauser,BOS,16.1,13.1
Sam Merrill,CLE,11.7,10.85
Sandro Mamukelashvili,SAS,15.3,14.72
Santi Aldama,MEM,21.8,19.55
Scottie Barnes,TOR,34.8,33.95
Scotty Pippen Jr.,LAL,5.3,4.57
Serge Ibaka,MIL,11.6,8.9
Seth Curry,BKN,19.8,15.35
Shaedon Sharpe,POR,22.2,17.2
Shai Gilgeous-Alexander,OKC,35.5,49.9
Shake Milton,PHI,20.6,17.08
Shaquille Harrison,LAL,24.0,28.2
Simone Fontecchio,UTA,14.7,10.82
Skylar Mays,POR,31.5,34.3
Spencer Dinwiddie,BKN,34.5,33.75
Stanley Johnson,SAS,15.6,14.25
Stanley Umude,DET,2.1,6.0
Stephen Curry,GSW,34.7,49.92
Sterling Brown,LAL,6.1,4.85
Steven Adams,MEM,27.0,29.48
Svi Mykhailiuk,CHA,14.6,13.02
T.J. McConnell,IND,20.4,22.12
T.J. Warren,PHX,16.4,14.22
Taj Gibson,WAS,9.8,7.68
Talen Horton-Tucker,UTA,20.2,21.9
Tari Eason,HOU,21.6,21.8
Taurean Prince,MIN,22.1,16.15
Terance Mann,LAC,23.1,18.1
Terence Davis,SAC,13.1,13.05
Terrence Ross,PHX,21.1,15.55
Terry Rozier,CHA,35.3,37.13
Terry Taylor,CHI,8.5,5.78
Thaddeus Young,TOR,14.7,12.22
Thanasis Antetokounmpo,MIL,5.6,3.75
Theo Maledon,CHA,19.4,17.3
Theo Pinson,DAL,8.1,6.75
Thomas Bryant,DEN,18.3,19.18
Tim Hardaway Jr.,DAL,30.3,24.37
Tobias Harris,PHI,32.9,28.62
Tony Bradley,CHI,2.8,3.38
Torrey Craig,PHX,24.7,19.4
Trae Young,ATL,34.8,48.15
Tre Jones,SAS,29.2,29.65
Tre Mann,OKC,17.7,15.02
Trendon Watford,POR,19.1,16.35
Trent Forrest,ATL,12.0,7.3
Trevelin Queen,IND,10.0,9.0
Trevor Hudgins,HOU,5.7,2.8
Trevor Keels,NYK,2.7,2.02
Trey Lyles,SAC,16.9,15.82
Trey Murphy III,NOP,31.0,25.2
Troy Brown Jr.,LAL,24.5,16.58
Ty Jerome,GSW,18.1,14.78
TyTy Washington Jr.,HOU,14.0,10.07
Tyler Dorsey,DAL,2.8,4.03
Tyler Herro,MIA,34.9,35.45
Tyrese Haliburton,IND,33.6,46.62
Tyrese Martin,ATL,4.1,2.65
Tyrese Maxey,PHI,33.6,31.68
Tyus Jones,MEM,24.2,23.72
Udoka Azubuike,UTA,10.0,9.02
Udonis Haslem,MIA,10.3,6.85
Usman Garuba,HOU,12.9,11.32
Vernon Carey Jr.,UTA,2.6,2.9
Victor Oladipo,MIA,26.3,22.9
Vince Williams Jr.,MEM,7.0,4.7
Vit Krejci,ATL,5.7,3.62
Vlatko Cancar,DEN,14.8,10.82
Walker Kessler,UTA,23.0,26.05
Wendell Carter Jr.,ORL,29.6,31.48
Wendell Moore Jr.,MIN,5.3,3.95
Wenyen Gabriel,LAL,15.1,13.0
Wesley Matthews,MIL,15.8,8.85
Will Barton,TOR,17.7,14.35
Willy Hernangomez,NOP,12.0,15.08
Xavier Cooks,WAS,12.6,11.05
Xavier Moon,LAC,4.9,4.75
Xavier Sneed,CHA,12.1,8.48
Xavier Tillman,MEM,19.3,18.35
Yuta Watanabe,BKN,16.0,11.5
Zach Collins,SAS,22.9,26.2
Zach LaVine,CHI,35.9,38.98
Zeke Nnaji,DEN,13.7,10.15
Ziaire Williams,MEM,15.2,10.73
Zion Williamson,NOP,33.0,43.45
